Date : 2024-03-06 19:51:57
Directory : c:\Users\kukohfr\Desktop\webdesa
Total : 352 files,  121897 codes, 8974 comments, 21133 blanks, all 152004 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\responsive-table.init.js                        | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\sparkline.init.js                               | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\sweet-alerts.init.js                            | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\toastr.init.js                                  | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\vendor.js                                             | JavaScript |     12,120 |      3,281 |      3,404 |     18,805 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\vendor.min.js                                         | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-colorpicker\bootstrap-colorpicker.min.css | CSS        |          1 |          8 |          1 |         10 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-colorpicker\bootstrap-colorpicker.min.js  | JavaScript |          1 |          9 |          0 |         10 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-datepicker\bootstrap-datepicker.min.css   | CSS        |          1 |          5 |          1 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-datepicker\bootstrap-datepicker.min.js    | JavaScript |          2 |          5 |          1 |          8 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-daterangepicker\daterangepicker.css       | CSS        |        337 |          1 |         73 |        411 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-daterangepicker\daterangepicker.js        | JavaScript |      1,158 |        115 |        293 |      1,566 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-maxlength\bootstrap-maxlength.min.js      | JavaScript |          1 |          8 |          1 |         10 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-select\bootstrap-select.min.css           | CSS        |          1 |          5 |          0 |          6 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-select\bootstrap-select.min.js            | JavaScript |          1 |          7 |          1 |          9 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-tagsinput\bootstrap-tagsinput.css         | CSS        |         55 |          4 |          2 |         61 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-tagsinput\bootstrap-tagsinput.min.js      | JavaScript |          1 |          5 |          1 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-timepicker\bootstrap-timepicker.min.css   | CSS        |          1 |          9 |          0 |         10 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-timepicker\bootstrap-timepicker.min.js    | JavaScript |          1 |          4 |          0 |          5 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\chart-js\Chart.bundle.min.js                        | JavaScript |          1 |          9 |          0 |         10 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\chartist\chartist-plugin-tooltip.min.js             | JavaScript |          1 |          6 |          1 |          8 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\chartist\chartist.min.css                           | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\chartist\chartist.min.js                            | JavaScript |          2 |          7 |          1 |         10 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\custombox\custombox.min.css                         | CSS        |          1 |          8 |          0 |          9 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\custombox\custombox.min.js                          | JavaScript |          1 |          8 |          0 |          9 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\buttons.bootstrap4.min.css               | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\buttons.bootstrap4.min.js                | JavaScript |          2 |          4 |          1 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\buttons.flash.min.js                     | JavaScript |         32 |          0 |          1 |         33 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\buttons.html5.min.js                     | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\buttons.print.min.js                     | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\dataTables.bootstrap4.min.css            | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\dataTables.bootstrap4.min.js             | JavaScript |          4 |          4 |          1 |          9 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\dataTables.buttons.min.js                | JavaScript |         37 |          4 |          1 |         42 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\dataTables.colVis.min.js                 | JavaScript |         20 |          4 |          0 |         24 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\dataTables.keyTable.min.js               | JavaScript |         20 |          4 |          1 |         25 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\dataTables.responsive.min.js             | JavaScript |         26 |          4 |          1 |         31 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\dataTables.select.min.js                 | JavaScript |         23 |          4 |          1 |         28 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\jquery.dataTables.min.js                 | JavaScript |        162 |          4 |          1 |        167 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\responsive.bootstrap4.min.css            | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\responsive.bootstrap4.min.js             | JavaScript |          2 |          4 |          1 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\datatables\select.bootstrap4.min.css                | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\dropzone\dropzone.min.css                           | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\dropzone\dropzone.min.js                            | JavaScript |          2 |          0 |          0 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\flot-charts\jquery.flot.crosshair.js                | JavaScript |         94 |         60 |         23 |        177 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\flot-charts\jquery.flot.js                          | JavaScript |      2,239 |        404 |        526 |      3,169 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\flot-charts\jquery.flot.orderBars.js                | JavaScript |        134 |         32 |         35 |        201 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\flot-charts\jquery.flot.pie.js                      | JavaScript |        526 |        128 |        167 |        821 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\flot-charts\jquery.flot.resize.js                   | JavaScript |         28 |         22 |         10 |         60 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\flot-charts\jquery.flot.selection.js                | JavaScript |        208 |         96 |         57 |        361 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\flot-charts\jquery.flot.stack.js                    | JavaScript |        118 |         46 |         25 |        189 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\flot-charts\jquery.flot.time.js                     | JavaScript |        308 |         44 |         81 |        433 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\flot-charts\jquery.flot.tooltip.min.js              | JavaScript |          1 |         11 |          0 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\fullcalendar\fullcalendar.min.css                   | CSS        |          1 |          4 |          0 |          5 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\fullcalendar\fullcalendar.min.js                    | JavaScript |          7 |          5 |          0 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\gmaps\gmaps.min.js                                  | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\ion-rangeslider\ion.rangeSlider.css                 | CSS        |        670 |          5 |          1 |        676 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\ion-rangeslider\ion.rangeSlider.min.js              | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jquery-knob\jquery.knob.min.js                      | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jquery-mask-plugin\jquery.mask.min.js               | JavaScript |         17 |          2 |          1 |         20 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jquery-sparkline\jquery.sparkline.min.js            | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jquery-steps\jquery.steps.min.js                    | JavaScript |          1 |          5 |          0 |          6 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jquery-toast\jquery.toast.min.css                   | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jquery-toast\jquery.toast.min.js                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jquery-ui\jquery-ui.min.js                          | JavaScript |          8 |          4 |          1 |         13 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jqvmap\jquery.vmap.canada.js                        | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jqvmap\jquery.vmap.germany.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jqvmap\jquery.vmap.iran.js                          | JavaScript |          1 |          5 |          1 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jqvmap\jquery.vmap.min.js                           | JavaScript |          1 |          8 |          1 |         10 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jqvmap\jquery.vmap.usa.js                           | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jqvmap\jquery.vmap.world.js                         | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\jqvmap\jqvmap.min.css                               | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\moment\moment.min.js                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\parsleyjs\parsley.min.js                            | JavaScript |          3 |         15 |          1 |         19 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\rwd-table\rwd-table.min.css                         | CSS        |          1 |          6 |          0 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\rwd-table\rwd-table.min.js                          | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\select2\select2.min.css                             | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\select2\select2.min.js                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\summernote\summernote-bs4.css                       | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\summernote\summernote-bs4.min.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\sweetalert2\sweetalert2.min.css                     | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\sweetalert2\sweetalert2.min.js                      | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\switchery\switchery.min.css                         | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\switchery\switchery.min.js                          | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\animate.css                                          | CSS        |      3,055 |         11 |        558 |      3,624 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\bootstrap.min.css                                    | CSS        |      8,231 |          7 |      1,035 |      9,273 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\flaticon.css                                         | CSS        |         28 |          4 |          4 |         36 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\font-awesome.min.css                                 | CSS        |          1 |          3 |          1 |          5 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\gijgo.css                                            | CSS        |      2,222 |         59 |        423 |      2,704 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\magnific-popup.css                                   | CSS        |        310 |          6 |         36 |        352 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\nice-select.css                                      | CSS        |        127 |          1 |         12 |        140 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\owl.carousel.min.css                                 | CSS        |          1 |          5 |          0 |          6 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\slicknav.css                                         | CSS        |        214 |         22 |         16 |        252 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\style.css                                            | CSS        |      4,569 |        873 |        814 |      6,256 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\theme-default.css                                    | CSS        |        258 |         55 |         47 |        360 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\css\themify-icons.css                                    | CSS        |      1,076 |          2 |          4 |      1,082 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\fonts\Flaticon.svg                                       | XML        |         65 |          3 |          2 |         70 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\fonts\fa-brands-400.svg                                  | XML        |      1,004 |          4 |          1 |      1,009 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\fonts\fa-regular-400.svg                                 | XML        |        362 |          4 |          1 |        367 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\fonts\fa-solid-900.svg                                   | XML        |      1,463 |          4 |          1 |      1,468 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\fonts\flaticon.css                                       | CSS        |         27 |          4 |          4 |         35 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\fonts\fontawesome-webfont.svg                            | XML        |      2,671 |          0 |          1 |      2,672 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\fonts\gijgo-material.svg                                 | XML        |         91 |          0 |          0 |         91 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\fonts\themify.svg                                        | XML        |        362 |          0 |          0 |        362 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\ajax-form.js                                          | JavaScript |         28 |         11 |         10 |         49 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\bootstrap.min.js                                      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\contact.js                                            | JavaScript |         79 |          1 |          5 |         85 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\gijgo.min.js                                          | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\imagesloaded.pkgd.min.js                              | JavaScript |          1 |          5 |          1 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\isotope.pkgd.min.js                                   | JavaScript |          2 |          9 |          1 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\jquery.ajaxchimp.min.js                               | JavaScript |        106 |          2 |         12 |        120 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\jquery.counterup.min.js                               | JavaScript |          1 |          7 |          0 |          8 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\jquery.form.js                                        | JavaScript |        822 |        238 |        115 |      1,175 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\jquery.magnific-popup.min.js                          | JavaScript |          1 |          3 |          0 |          4 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\jquery.scrollUp.min.js                                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\jquery.slicknav.min.js                                | JavaScript |          1 |          5 |          0 |          6 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\jquery.validate.min.js                                | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\mail-script.js                                        | JavaScript |         26 |          2 |          3 |         31 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\main.js                                               | JavaScript |        286 |         38 |         37 |        361 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\nice-select.min.js                                    | JavaScript |          1 |          3 |          0 |          4 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\owl.carousel.min.js                                   | JavaScript |          2 |          5 |          0 |          7 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\plugins.js                                            | JavaScript |         18 |          3 |          4 |         25 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\popper.min.js                                         | JavaScript |          1 |          4 |          1 |          6 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\scrollIt.js                                           | JavaScript |         67 |         45 |         18 |        130 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\vendor\jquery-1.12.4.min.js                           | JavaScript |          4 |          1 |          1 |          6 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\vendor\modernizr-3.5.0.min.js                         | JavaScript |          1 |          2 |          0 |          3 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\waypoints.min.js                                      | JavaScript |          1 |          7 |          0 |          8 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\js\wow.min.js                                            | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_about.scss                                         | SCSS       |        186 |          0 |          3 |        189 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_blog.scss                                          | SCSS       |      1,034 |        187 |        280 |      1,501 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_blog_part.scss                                     | SCSS       |        169 |          1 |          6 |        176 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_bradcam.scss                                       | SCSS       |        162 |          6 |          2 |        170 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_btn.scss                                           | SCSS       |        168 |          5 |          2 |        175 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_contact.scss                                       | SCSS       |        121 |          9 |         24 |        154 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_department.scss                                    | SCSS       |         56 |          0 |          0 |         56 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_elements.scss                                      | SCSS       |      1,054 |          1 |         46 |      1,101 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_emergency_contact.scss                             | SCSS       |         40 |          1 |          0 |         41 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_experts.scss                                       | SCSS       |        106 |          4 |          0 |        110 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_extend.scss                                        | SCSS       |         11 |          0 |          0 |         11 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_footer.scss                                        | SCSS       |        167 |          0 |          4 |        171 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_header.scss                                        | SCSS       |        257 |         29 |          4 |        290 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_mixins.scss                                        | SCSS       |        109 |         12 |         13 |        134 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_offers.scss                                        | SCSS       |        389 |          9 |          9 |        407 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_responsive.scss                                    | SCSS       |          5 |          5 |          6 |         16 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_section_title.scss                                 | SCSS       |         52 |          0 |          1 |         53 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_service.scss                                       | SCSS       |         42 |          0 |          1 |         43 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_slick-nav.scss                                     | SCSS       |         99 |          2 |          4 |        105 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_slider.scss                                        | SCSS       |         54 |          0 |          0 |         54 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_tesmonial.scss                                     | SCSS       |         63 |          0 |          0 |         63 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\_varriable.scss                                     | SCSS       |         35 |          3 |          9 |         47 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\style.scss                                          | SCSS       |         23 |         10 |         22 |         55 |
| c:\Users\kukohfr\Desktop\webdesa\public\assetz\scss\theme-default.scss                                  | SCSS       |        263 |         32 |         20 |        315 |
| c:\Users\kukohfr\Desktop\webdesa\public\index.php                                                       | PHP        |         10 |         39 |         12 |         61 |
| c:\Users\kukohfr\Desktop\webdesa\public\web.config                                                      | XML        |         23 |          5 |          1 |         29 |
| c:\Users\kukohfr\Desktop\webdesa\resources\js\app.js                                                    | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\resources\js\bootstrap.js                                              | JavaScript |          3 |         18 |          8 |         29 |
| c:\Users\kukohfr\Desktop\webdesa\resources\lang\en\auth.php                                             | PHP        |          5 |         10 |          5 |         20 |
| c:\Users\kukohfr\Desktop\webdesa\resources\lang\en\pagination.php                                       | PHP        |          5 |         10 |          5 |         20 |
| c:\Users\kukohfr\Desktop\webdesa\resources\lang\en\passwords.php                                        | PHP        |          8 |         10 |          5 |         23 |
| c:\Users\kukohfr\Desktop\webdesa\resources\lang\en\validation.php                                       | PHP        |        113 |         30 |          9 |        152 |
| c:\Users\kukohfr\Desktop\webdesa\resources\sass\app.scss                                                | SCSS       |          0 |          1 |          1 |          2 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\auth\index.blade.php                             | PHP        |          0 |          0 |          1 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\auth\management.blade.php                        | PHP        |        122 |          0 |        155 |        277 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\berita\comen.blade.php                           | PHP        |         81 |          0 |         18 |         99 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\berita\index.blade.php                           | PHP        |        161 |          0 |         95 |        256 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\danadesa\index.blade.php                         | PHP        |         48 |          0 |          6 |         54 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\dashboard\index.blade.php                        | PHP        |         43 |          0 |          3 |         46 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\galery\index.blade.php                           | PHP        |        152 |          0 |         88 |        240 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\grafik\index.blade.php                           | PHP        |        158 |          0 |        113 |        271 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\pemasukan\index.blade.php                        | PHP        |        247 |          0 |        127 |        374 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\pemasukan\pemasukan_pdf.blade.php                | PHP        |         42 |          0 |          2 |         44 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\penduduk\index.blade.php                         | PHP        |        279 |          0 |        144 |        423 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\pengeluaran\index.blade.php                      | PHP        |        248 |          0 |        132 |        380 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\pengeluaran\keungan.blade.php                    | PHP        |         98 |          0 |         14 |        112 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\pengeluaran\pengeluaran_pdf.blade.php            | PHP        |         42 |          0 |          2 |         44 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\potensi\index.blade.php                          | PHP        |        176 |          1 |         74 |        251 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\quetes\index.blade.php                           | PHP        |        157 |          0 |         69 |        226 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\slider\index.blade.php                           | PHP        |        186 |          0 |         74 |        260 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\structur\index.blade.php                         | PHP        |        197 |          0 |         75 |        272 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\user\index.blade.php                             | PHP        |        150 |          0 |        111 |        261 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\user\setings.blade.php                           | PHP        |         65 |          0 |         19 |         84 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\web\index.blade.php                              | PHP        |        207 |          0 |         82 |        289 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\admin\web\sejarah.blade.php                            | PHP        |        126 |          0 |         81 |        207 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\layouts\master.blade.php                               | PHP        |        335 |          0 |        122 |        457 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\layouts\ui.blade.php                                   | PHP        |        255 |          0 |         20 |        275 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\productAjax.blade.php                                  | PHP        |        134 |          0 |        170 |        304 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\berita\detail.blade.php                             | PHP        |        183 |          0 |         18 |        201 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\berita\index.blade.php                              | PHP        |        145 |          0 |         18 |        163 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\coba.blade.php                                      | PHP        |         32 |          0 |          6 |         38 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\galery\index.blade.php                              | PHP        |         39 |          0 |          6 |         45 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\grafik\agama.blade.php                              | PHP        |         90 |          0 |          6 |         96 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\grafik\jenisklamin.blade.php                        | PHP        |         90 |          0 |          6 |         96 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\grafik\pekerjaan.blade.php                          | PHP        |         90 |          0 |          6 |         96 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\grafik\pendidikan.blade.php                         | PHP        |         90 |          0 |          6 |         96 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\home.blade.php                                      | PHP        |        187 |          0 |         15 |        202 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\potensi\detail.blade.php                            | PHP        |        123 |          0 |         17 |        140 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\potensi\index.blade.php                             | PHP        |         85 |          0 |          9 |         94 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\sejarah\index.blade.php                             | PHP        |         36 |          0 |          4 |         40 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\sejarah\visi.blade.php                              | PHP        |         44 |          0 |          4 |         48 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\ui\struktur\index.blade.php                            | PHP        |         70 |          0 |         12 |         82 |
| c:\Users\kukohfr\Desktop\webdesa\resources\views\welcome.blade.php                                      | PHP        |         65 |          0 |         17 |         82 |
| c:\Users\kukohfr\Desktop\webdesa\routes\api.php                                                         | PHP        |          5 |         10 |          4 |         19 |
